,formula,full_name,ave_ele_diele,ave_ion_diele,band_gap,cbm_d,cbm_f,cbm_p,cbm_s,formation_energy,vbm_d,vbm_f,vbm_p,vbm_s,ave_bec,bader_charge,bader_volume,nn_ave_ave_bec,nn_ave_bader_charge,nn_ave_eleneg,nn_max_ave_bec,nn_max_bader_charge,nn_max_eleneg,nn_min_ave_bec,nn_min_bader_charge,nn_min_eleneg,o2p_center_from_vbm,O,Ge,Al,vacancy_formation_energy,Pb,Zn,Bi,Ag,As,Cu,Sb,Mo,Tl,B,Ba,Ca,W,Cd,Pt,Ce,Hf,In,Ga,La,Ta,Mg,Si,Sc,Sn,Sr,Ti,Y,Zr,Nb,Na,V,Au,Li,Be,Hg,Pd,Cr,Cs,K,Re,Rb
1325,RbLa(MoO4)2,RbLa(MoO4)2_Va_O1,3.8052799999999998,6.623442,3.5536000000000003,0.6864297722670715,0.03809361004383523,0.27071161222563633,0.004765005463458042,-2.554193009375,0.022200497571989646,0.005213893982251546,0.968664439494035,0.003921168951724031,-1.8122333333333334,-1.190652,17.555525,0.906118333333332,0.5905068446428738,2.500000000000001,5.20873,3.029506,3.44,-1.8122333333333334,-1.1888579999999997,0.82,2.0518213185789618,0.5000000000000003,0.0,0.0,1.9645456895645335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12499999999999992
1326,RbLaO2,RbLaO2_Va_O1,3.8317876666666666,15.531702333333333,3.3582999999999994,0.7678885227597424,0.07008451875058462,0.11433460313126342,0.047692355358409266,-2.9608934381250003,0.020129105410530396,0.051356767901029124,0.9261232598638173,0.0023908668246231876,-2.545536666666667,-1.3046939999999996,15.794339,2.0540847873759644,1.0544664252398446,1.287149823710671,3.84334,1.9599430000000009,3.44,-2.545536666666667,-1.31445,0.82,1.1096741129415495,0.12550028092806373,0.0,0.0,3.3730817632674226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49406817028265637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38043154878928
1327,RbLiCrO4,RbLiCrO4_Va_O1,2.850564,3.516021333333333,2.7977,0.6974655468999131,0.0,0.29822761967891936,0.004306833421167504,-2.0906449558333344,0.0064516700744027666,0.0,0.9893606891084419,0.004187640817155201,-1.2904133333333332,-0.8825880000000002,17.082556,0.9061623405984522,0.6059414457744399,1.7958094335347117,2.6431133333333334,1.7942369999999999,3.44,-1.2904133333333332,-0.85419,0.82,1.8996116146909463,0.27715081525448027,0.0,0.0,2.136132133096182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24945664437020057,0.0,0.0,0.0,0.24971575531993007,0.0,0.0,0.0,0.22367678505538924
1328,RbLiCrO4,RbLiCrO4_Va_O2,2.850564,3.516021333333333,2.7977,0.6974655468999131,0.0,0.29822761967891936,0.004306833421167504,-2.0906449558333344,0.0064516700744027666,0.0,0.9893606891084419,0.004187640817155201,-1.33967,-0.925859,20.717884,0.9984984933773492,0.6754727751027729,1.687589120070216,2.6431133333333334,1.7829490000000003,1.66,1.2743433333333334,0.737797,0.82,1.908977869955053,0.23933635918138135,0.0,0.0,2.0465295878343595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22327411130742547,0.0,0.0,0.0,0.24381428714977207,0.0,0.0,0.0,0.29357524236142113
1329,RbLiMoO4,RbLiMoO4_Va_O1,2.664392,3.071609,4.2959,0.6816528319927306,0.0,0.3126658620449761,0.00568130596229309,-2.2576535686904773,0.006210847483849943,0.0,0.9869210897360511,0.006868062780098742,-1.4284,-1.104768,21.720224,1.0227001375658975,0.7801732118423206,1.896647721228616,3.19485,2.7394,3.44,-1.44628,-1.066561,0.82,1.590954722358288,0.26858687959661987,0.0,0.0,3.2250173670210787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24964113107271516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24019363155020754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2415783577804575
1330,RbLiMoO4,RbLiMoO4_Va_O2,2.664392,3.071609,4.2959,0.6816528319927306,0.0,0.3126658620449761,0.00568130596229309,-2.2576535686904773,0.006210847483849943,0.0,0.9869210897360511,0.006868062780098742,-1.4424033333333333,-1.1249799999999999,22.612138,0.9768120011414128,0.7478374698903554,1.9326636912404256,3.19485,2.739349,2.16,1.2666666666666666,0.679664,0.82,1.5980736413901966,0.28436664283882696,0.0,0.0,3.192434600018066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2465695073303174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23262466987546132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23643917995539435
1331,RbLiMoO4,RbLiMoO4_Va_O3,2.664392,3.071609,4.2959,0.6816528319927306,0.0,0.3126658620449761,0.00568130596229309,-2.2576535686904773,0.006210847483849943,0.0,0.9869210897360511,0.006868062780098742,-1.44628,-1.066561,20.456413,0.9771937291314812,0.7466022497853556,1.9518438609595636,3.19485,2.7394,3.44,-1.4284,-1.104768,0.82,1.595752043152763,0.28887574405872923,0.0,0.0,3.19314435244522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2531220355087159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22378677465008417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23421544578247067
1332,RbLiMoO4,RbLiMoO4_Va_O4,2.664392,3.071609,4.2959,0.6816528319927306,0.0,0.3126658620449761,0.00568130596229309,-2.2576535686904773,0.006210847483849943,0.0,0.9869210897360511,0.006868062780098742,-1.4140666666666668,-1.0450090000000003,20.699392,0.9566908634781126,0.7270386047430929,1.961386593050691,3.19485,2.739349,2.16,1.2666666666666666,0.679763,0.82,1.5856460753518637,0.2931389053242602,0.0,0.0,3.228761935518719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25043233461407155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236145829489209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2202829305724594
1333,RbLiZn2O3,RbLiZn2O3_Va_O1,3.6822996666666667,6.071497666666667,2.4804999999999997,0.022008649815575675,0.0,0.2678516767073095,0.7101396734771149,-1.7950848297619046,0.14338933041345114,0.0,0.8502675616682986,0.006343107918250096,-2.008233333333333,-1.1438439999999996,11.786478,1.644067250040376,0.8854057037051182,1.4095232774668853,1.9236700000000002,1.0607589999999991,1.65,0.8950299999999999,0.3297,0.82,2.3716804799057707,0.0009245766228194412,0.0,0.0,3.43503321271241,0.0,0.6741490010460864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1722325990427931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1526938232883011
1334,RbLiZn2O3,RbLiZn2O3_Va_O2,3.6822996666666667,6.071497666666667,2.4804999999999997,0.022008649815575675,0.0,0.2678516767073095,0.7101396734771149,-1.7950848297619046,0.14338933041345114,0.0,0.8502675616682986,0.006343107918250096,-2.0024866666666665,-0.9025230000000004,11.730153,1.326143195226865,0.6720591864321693,1.1639314127915135,1.9236700000000002,1.0489940000000004,1.65,0.8950299999999999,0.3297,0.82,1.3525639849532338,0.00593458121024313,0.0,0.0,3.764663387511372,0.0,0.32444596355684296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36932912667810547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3002903285548085
1335,RbMgBO3,RbMgBO3_Va_O1,2.591225,3.604215,4.4726,0.010212413089494853,0.0,0.17601565709943154,0.8137719298110733,-2.766051768611111,0.012192299410892605,0.0,0.9855571149401763,0.0022505856489313456,-1.5938966666666667,-1.3990929999999997,15.261387,1.2048833877593024,1.0793150305761945,1.6446800218680577,1.91798,1.919171,2.04,1.26524,0.8674269999999993,0.82,2.2991347128620023,0.12561994038536278,0.0,0.0,4.4744703646448505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2796783046883758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.314996421099161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2797053338271005
1336,RbNa2AuO2,RbNa2AuO2_Va_O1,3.586793,6.532127666666668,2.1741,0.2880786185387497,0.0,0.5059299205886783,0.2059914608725722,-1.2990187059339084,0.37315082668887867,0.0,0.6167236733081163,0.010125500003004953,-1.65639,-1.1695450000000003,16.426583,0.8667631231609105,0.5933783649812148,1.242982769691666,1.2022966666666666,0.7857540000000007,2.54,-0.0024333333333333615,0.3079520000000002,0.82,2.039673920071408,0.0,0.0,0.0,3.2834696550561517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5708110775827318,0.0,0.20941485532416604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21977406709310218
1337,RbNa2BO3,RbNa2BO3_Va_O1,2.6110683333333333,4.163043666666667,3.17,0.021390635157064082,0.0,0.14411843660960375,0.8344909282333318,-2.251398343538588,0.007317829274685363,0.0,0.9908308155621888,0.0018513551631257638,-1.6028833333333334,-1.6689809999999996,19.963779,1.1453137157507611,1.2132201982574007,1.2815366863860267,1.6364033333333332,2.285928,2.04,1.0159533333333333,0.8074659999999998,0.82,2.6912552791651994,0.02374027889100191,0.0,0.0,4.687386903198179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2751912758500437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5782163559504386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12285208930851577
1338,RbNa2BO3,RbNa2BO3_Va_O2,2.6110683333333333,4.163043666666667,3.17,0.021390635157064082,0.0,0.14411843660960375,0.8344909282333318,-2.251398343538588,0.007317829274685363,0.0,0.9908308155621888,0.0018513551631257638,-1.6554266666666664,-1.5739590000000003,18.454495,1.138201985407867,1.1591254486405802,1.3236821489665178,1.6364033333333332,2.285928,2.04,1.0159533333333333,0.8074659999999998,0.82,2.5993584714116977,0.04375290191036211,0.0,0.0,4.873915598519942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2883906223265646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33829987929963734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32955659646343605
